# time omega_err_norm v_err_norm
0.000000 1.570041 0.633526
0.010000 1.570041 0.633526
0.020000 1.567532 0.632623
0.030000 1.564841 0.631044
0.040000 1.563378 0.628929
0.050000 1.563995 0.626363
0.060000 1.567212 0.623397
0.070000 1.573351 0.620064
0.080000 1.582615 0.616387
0.090000 1.595139 0.612383
0.100000 1.611016 0.608068
0.110000 1.630311 0.603457
0.120000 1.653068 0.598571
0.130000 1.679310 0.593434
0.140000 1.709037 0.588075
0.150000 1.742217 0.582533
0.160000 1.778784 0.576851
0.170000 1.818626 0.571085
0.180000 1.861584 0.565296
0.190000 1.907438 0.559556
0.200000 1.955910 0.553944
0.210000 2.006663 0.548540
0.220000 2.059296 0.543429
0.230000 2.113349 0.538687
0.240000 2.168310 0.534384
0.250000 2.223614 0.530566
0.260000 2.278655 0.527254
0.270000 2.332790 0.524428
0.280000 2.385356 0.522023
0.290000 2.435624 0.519901
0.300000 2.483006 0.517879
0.310000 2.527136 0.515802
0.320000 2.567426 0.513414
0.330000 2.603315 0.510393
0.340000 2.634665 0.506479
0.350000 2.661693 0.501448
0.360000 2.684782 0.495147
0.370000 2.704196 0.487509
0.380000 2.720761 0.478547
0.390000 2.735797 0.468355
0.400000 2.750613 0.457103
0.410000 2.766930 0.445011
0.420000 2.786312 0.432373
0.430000 2.809610 0.419957
0.440000 2.838126 0.408743
0.450000 2.873359 0.399443
0.460000 2.916581 0.392493
0.470000 2.968398 0.388415
0.480000 3.028217 0.387868
0.490000 3.096009 0.391540
0.500000 3.110843 0.394488
0.510000 3.026964 0.393916
0.520000 2.936943 0.398543
0.530000 2.841987 0.407952
0.540000 2.743383 0.421452
0.550000 2.642366 0.438191
0.560000 2.540076 0.457285
0.570000 2.437558 0.477892
0.580000 2.335756 0.499254
0.590000 2.235525 0.520705
0.600000 2.137679 0.541665
0.610000 2.043029 0.561631
0.620000 1.951895 0.580329
0.630000 1.864594 0.597361
0.640000 1.781534 0.612381
0.650000 1.702493 0.625181
0.660000 1.628009 0.635487
0.670000 1.559080 0.643104
0.680000 1.496401 0.647969
0.690000 1.441313 0.650078
0.700000 1.395402 0.649537
0.710000 1.359844 0.646586
0.720000 1.335098 0.641580
0.730000 1.320908 0.634951
0.740000 1.316827 0.627170
0.750000 1.322706 0.618753
0.760000 1.338677 0.610308
0.770000 1.364858 0.602552
0.780000 1.401123 0.596303
0.790000 1.447029 0.592418
0.800000 1.501846 0.591729
0.810000 1.564537 0.595015
0.820000 1.633846 0.602860
0.830000 1.708409 0.615546
0.840000 1.786834 0.633037
0.850000 1.867748 0.654995
0.860000 1.949837 0.680838
0.870000 2.031886 0.709817
0.880000 2.112800 0.741096
0.890000 2.191632 0.773816
0.900000 2.267610 0.807160
0.910000 2.340143 0.840393
0.920000 2.408841 0.872896
0.930000 2.473511 0.904188
0.940000 2.534148 0.933930
